"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSPFOG00000019005",2515.69781614891,0.200767057282815,0.0571473565067692,3.5131468812391,0.000442832602324686,0.0197996391369295
"ENSPFOG00000021829",227.550459231144,-0.835675388757572,0.228361459197885,-3.65944144731281,0.000252765587661603,0.0148862027755172
"ENSPFOG00000019343",593.491336258737,0.582765752079993,0.164502450697197,3.54259617172939,0.00039620892336848,0.0187231399177321
"ENSPFOG00000003475",719.881790269072,0.696840808048298,0.209214324975888,3.33075093270315,0.000866120604368478,0.0284952806440296
"ENSPFOG00000012723",364.780953967784,-1.34696494796769,0.392412277687633,-3.43252498597889,0.000597988778657085,0.0235342770692902
"ENSPFOG00000009066",5155.14218573004,-0.964629410493611,0.210450146438899,-4.58364808395928,4.56933015545833e-06,0.0018695457437946
"ENSPFOG00000010945",264.895530334408,0.732525619621998,0.235259377151325,3.11369361124687,0.00184761243692524,0.0424032873516966
"ENSPFOG00000011395",2757.29455757544,0.217267122699541,0.0678421051261964,3.20254099272703,0.00136220911225951,0.0358054601204213
"ENSPFOG00000011447",4202.16062928031,-0.390133805924284,0.110128558073567,-3.54253077266,0.000396307181103944,0.0187231399177321
"ENSPFOG00000012917",1382.96447472181,-0.36551065556693,0.112398562327666,-3.2519157540591,0.00114629992747976,0.0328726775530945
"ENSPFOG00000014176",131.323871219706,-1.24397858014418,0.348502450326422,-3.56949737076173,0.000357666806996381,0.017667436696393
"ENSPFOG00000016253",291.401991397038,-1.70617061607454,0.447659736519613,-3.81131130831505,0.000138231551544404,0.0112739030360573
"ENSPFOG00000016730",18946.315047731,-0.471087493439987,0.155104413432331,-3.03722816788519,0.00238764648875425,0.048799353542541
"ENSPFOG00000017647",957.678978884176,-1.54954314364427,0.375546918523652,-4.12609734553494,3.68971137812957e-05,0.00584024753538246
"ENSPFOG00000018079",92.6435197316206,1.17962627064204,0.293149820506382,4.02397063932828,5.72250545714612e-05,0.00740075326280006
"ENSPFOG00000005480",915.465975105699,-0.865898534238503,0.227920818901841,-3.79911996811236,0.000145210793130996,0.0114260432971482
"ENSPFOG00000006064",42.1469251578362,3.38918426270534,0.841971459575656,4.02529589828787,5.69037171511009e-05,0.00740075326280006
"ENSPFOG00000006281",1166.1849464086,-0.970547516904062,0.247314028709238,-3.92435286412771,8.69631902918396e-05,0.00906633068018529
"ENSPFOG00000011238",7016.92306015417,-1.00153870949951,0.260845208297031,-3.83959021535498,0.000123239838423233,0.0106898235848312
"ENSPFOG00000003759",3550.63269213968,-0.367622022081815,0.11656075166067,-3.15390915762136,0.00161099224379324,0.0392962506261601
"ENSPFOG00000006156",818.285712623783,0.251938635249252,0.0781906712878285,3.22210605305891,0.00127252024186314,0.0346230883874557
"ENSPFOG00000024171",68.1499715577975,-2.11596624657139,0.650828033020311,-3.25119100471407,0.00114922621637464,0.0328726775530945
"ENSPFOG00000006817",666.719775676275,0.419210450057138,0.0891174251832357,4.70402336238051,2.55084039647327e-06,0.0012292216443894
"ENSPFOG00000009162",726.063653897941,0.457580984634398,0.13088461481085,3.49606395905032,0.000472175507720475,0.0205192903505381
"ENSPFOG00000009272",128.567604414922,-0.692490468308477,0.216421352941488,-3.19973264604671,0.00137555121209593,0.0359643527142519
"ENSPFOG00000010300",486.066805780884,-0.776763968508944,0.230070619312095,-3.37619801620671,0.000734950032584128,0.0261877113590131
"ENSPFOG00000024261",225.672854098965,-0.850095153145796,0.262384002246187,-3.23988942110952,0.00119576061912508,0.0332450392939005
"ENSPFOG00000004727",8337.03801809351,0.306824993135981,0.0886153232954979,3.46243721430478,0.0005353067937306,0.0226279294776765
"ENSPFOG00000021209",700.844529377438,0.413277398303487,0.126168297797868,3.27560413762252,0.00105436234687845,0.031711300266379
"ENSPFOG00000005667",5348.79269052473,-0.636016951441038,0.195906615194825,-3.2465312659735,0.00116820615605082,0.0330374060423124
"ENSPFOG00000006025",9822.18740979271,-0.570952678203849,0.162912054139653,-3.50466809358633,0.000457176855807596,0.0201025207800857
"ENSPFOG00000011989",211.730918490056,-2.50573631488345,0.597593829099587,-4.19304248616309,2.75237869513979e-05,0.00488484994827202
"ENSPFOG00000012025",6435.64659324684,-0.315175172564322,0.088213116506248,-3.57288331993121,0.000353072106510173,0.0176008474245359
"ENSPFOG00000013470",2308.97547901248,0.311833736468596,0.0788306319660072,3.95574320148877,7.6297084884124e-05,0.00839848875996055
"ENSPFOG00000014146",777.338242750925,-0.846314302588137,0.231377803605334,-3.657716035855,0.000254472748746762,0.0148862027755172
"ENSPFOG00000009907",135.300318179147,-1.41991701966736,0.376265293885502,-3.77371243838249,0.00016083613952531,0.0119035211112845
"ENSPFOG00000020257",1980.68433255629,0.420512926856254,0.0878623310904924,4.78604336621974,1.7010131789966e-06,0.00102462418851503
"ENSPFOG00000013983",25.2704598308423,1.65726047489942,0.453466644077857,3.65464692175877,0.000257536151255924,0.0149322765774992
"ENSPFOG00000016334",1014.71868388206,-2.87656002991151,0.715514808793406,-4.02026623985929,5.81324067564071e-05,0.0074591789379449
"ENSPFOG00000016548",110.103253625164,-2.37403185692764,0.778761671298961,-3.0484703400564,0.00230009616940868,0.0479928353369654
"ENSPFOG00000017193",849.298142384433,0.280727075781244,0.0891643033015283,3.14842448588315,0.00164153129385181,0.039705984691201
