"gene_names","gene_ids"
"nrbp1","ENSPFOG00000019129"
"capn3b","ENSPFOG00000019159"
"ZNF106(2of2)","ENSPFOG00000019181"
"churc1","ENSPFOG00000019186"
"TTBK2(2of2)","ENSPFOG00000019189"
"elmsan1a","ENSPFOG00000019192"
"apoba(2of2)","ENSPFOG00000019199"
"RHOB","ENSPFOG00000020611"
"pum2","ENSPFOG00000019208"
"laptm4a","ENSPFOG00000019214"
"matn3a","ENSPFOG00000024479"
"ttc32","ENSPFOG00000019216"
"si:dkeyp-50f7.2","ENSPFOG00000019223"
"si:ch211-223m11.2","ENSPFOG00000019246"
"kcns3b","ENSPFOG00000020612"
"apobb.1","ENSPFOG00000019273"
"hpcal1","ENSPFOG00000019283"
"pdia6","ENSPFOG00000019286"
"kcnf1a","ENSPFOG00000020613"
"LRG1","ENSPFOG00000019292"
"rock2b","ENSPFOG00000019296"
"sobpb","ENSPFOG00000019308"
"ensembl","ENSPFOG00000019310"
"aim1b","ENSPFOG00000019314"
"mrap2a","ENSPFOG00000019319"
"ripply2","ENSPFOG00000021975"
"sim1b","ENSPFOG00000019320"
"si:dkey-205h13.2(2of3)","ENSPFOG00000019325"
"si:dkey-205h13.2(3of3)","ENSPFOG00000024417"
"GRIK2(2of2)","ENSPFOG00000019332"
"LIN28B","ENSPFOG00000019352"
"prep","ENSPFOG00000019358"
"ensembl","ENSPFOG00000019374"
"XKR5(3of3)","ENSPFOG00000019377"
"tram2","ENSPFOG00000019383"
"efhc1","ENSPFOG00000019386"
"eva1a","ENSPFOG00000019390"
"mrpl19","ENSPFOG00000019392"
"ensembl","ENSPFOG00000022923"
"mycn","ENSPFOG00000019393"
"PGBD4(7of15)","ENSPFOG00000019396"
"smek1","ENSPFOG00000019400"
"erh(2of2)","ENSPFOG00000019405"
"paplnb","ENSPFOG00000019407"
"si:dkey-65b13.13","ENSPFOG00000020614"
"PLEKHG1","ENSPFOG00000019410"
"tcp1","ENSPFOG00000019417"
"SNORA29","ENSPFOG00000021092"
"acat2","ENSPFOG00000019421"
"wtap","ENSPFOG00000019425"
"sod2","ENSPFOG00000019429"
"fndc1","ENSPFOG00000019433"
"otofa(1of2)","ENSPFOG00000019457"
"otofa(2of2)","ENSPFOG00000019508"
"ostm1","ENSPFOG00000019529"
"nr2e1","ENSPFOG00000019532"
"snx3","ENSPFOG00000019534"
"lace1b","ENSPFOG00000019535"
"foxo3b","ENSPFOG00000019537"
"armc2","ENSPFOG00000019538"
"sesn1","ENSPFOG00000019540"
"cep57l1","ENSPFOG00000019541"
"cd164","ENSPFOG00000019542"
"ppil6","ENSPFOG00000019543"
"GEN1","ENSPFOG00000019545"
"msgn1","ENSPFOG00000020615"
"ensembl","ENSPFOG00000019546"
"mrps10","ENSPFOG00000019547"
"tulp4a","ENSPFOG00000019548"
"tmem181","ENSPFOG00000019549"
"dynlt1","ENSPFOG00000019550"
"gtf2h5","ENSPFOG00000019551"
"serac1","ENSPFOG00000019552"
"myct1a","ENSPFOG00000019555"
"syne2b(1of2)","ENSPFOG00000019557"
"esr1","ENSPFOG00000019595"
"armt1","ENSPFOG00000024726"
"zbtb2b","ENSPFOG00000019596"
"akap12b","ENSPFOG00000019597"
"mthfd1l","ENSPFOG00000019598"
"STX11(1of4)","ENSPFOG00000020616"
"stx11a(2of2)","ENSPFOG00000023087"
"UTRN","ENSPFOG00000019599"
"epm2a","ENSPFOG00000019600"
"si:dkey-17e16.9(1of2)","ENSPFOG00000019601"
"si:dkey-17e16.9(2of2)","ENSPFOG00000019602"
"fbxo30b(1of2)","ENSPFOG00000019603"
"fbxo30b(2of2)","ENSPFOG00000021853"
"grm1a","ENSPFOG00000019604"
"rab32a","ENSPFOG00000024454"
"adgb","ENSPFOG00000019605"
"stxbp5a","ENSPFOG00000019606"
"SAMD5","ENSPFOG00000019607"
"sash1a","ENSPFOG00000019608"
"ust","ENSPFOG00000019609"
"ensembl","ENSPFOG00000022556"
"slc22a16","ENSPFOG00000019610"
"mettl24(2of2)","ENSPFOG00000019611"
"cdc40(2of2)","ENSPFOG00000019612"
"znfx1","ENSPFOG00000002172"
"tbc1d20","ENSPFOG00000002260"
"rbck1","ENSPFOG00000002398"
"necab3","ENSPFOG00000002548"
"cbfa2t2","ENSPFOG00000003025"
"SNTA1","ENSPFOG00000003151"
"tox2(1of2)","ENSPFOG00000003305"
"st7l","ENSPFOG00000003534"
"wnt2ba","ENSPFOG00000003624"
"ensembl","ENSPFOG00000020999"
"CTTNBP2NL(2of2)","ENSPFOG00000003693"
"kcnd3(1of2)","ENSPFOG00000003837"
"fam212b","ENSPFOG00000003848"
"rap1ab","ENSPFOG00000003908"
"timm17a","ENSPFOG00000004005"
"lmod1b","ENSPFOG00000004029"
"shisa4","ENSPFOG00000022821"
"ipo9","ENSPFOG00000004346"
"gnas","ENSPFOG00000004527"
"tubb1","ENSPFOG00000004579"
"slmo2","ENSPFOG00000004673"
"aurka","ENSPFOG00000004761"
"slc32a1","ENSPFOG00000004785"
"ARHGAP40","ENSPFOG00000005022"
"ppp1r16b","ENSPFOG00000005228"
"fam210b","ENSPFOG00000005251"
"NDUFA4L2(1of2)","ENSPFOG00000005259"
"shmt2","ENSPFOG00000005424"
"nxph3(1of2)","ENSPFOG00000005433"
"R3HDM2","ENSPFOG00000006077"
"INHBE","ENSPFOG00000006113"
"gli1","ENSPFOG00000006269"
"ensembl","ENSPFOG00000006375"
"ARHGAP9","ENSPFOG00000006700"
"mars","ENSPFOG00000006998"
"ddit3","ENSPFOG00000007011"
"dctn2","ENSPFOG00000007143"
"KIF5A(1of2)","ENSPFOG00000007419"
"soat2","ENSPFOG00000007442"
"igsf8","ENSPFOG00000007483"
"sp7","ENSPFOG00000007503"
"tarbp2","ENSPFOG00000007586"
"tespa1","ENSPFOG00000007616"
"sp1","ENSPFOG00000007682"
"ensembl","ENSPFOG00000007792"
"ensembl","ENSPFOG00000007801"
"ensembl","ENSPFOG00000007805"
"ensembl","ENSPFOG00000008011"
"MAP3K12(1of2)","ENSPFOG00000008087"
"C12orf10","ENSPFOG00000008202"
"ensembl","ENSPFOG00000008225"
"col2a1b","ENSPFOG00000009924"
"NCKAP1L","ENSPFOG00000010097"
"PDE1B","ENSPFOG00000010599"
"PPP1R1A","ENSPFOG00000022867"
"npffl","ENSPFOG00000010642"
"ITGA7","ENSPFOG00000011133"
"SHISA4(1of2)","ENSPFOG00000011173"
"alas1","ENSPFOG00000011304"
"poc1a","ENSPFOG00000011354"
"b9d2","ENSPFOG00000020364"
"dusp7(2of2)","ENSPFOG00000011374"
"pacrg","ENSPFOG00000011380"
"RPL29","ENSPFOG00000011385"
"iars","ENSPFOG00000011883"
"ensembl","ENSPFOG00000021809"
"atp2b2","ENSPFOG00000011920"
"SLC6A11","ENSPFOG00000024327"
"slc6a1b(2of3)","ENSPFOG00000012353"
"hrh1","ENSPFOG00000020365"
"ATG7","ENSPFOG00000012633"
"vgll4b","ENSPFOG00000012835"
"tamm41","ENSPFOG00000012866"
"syn2b","ENSPFOG00000012942"
"timp4a","ENSPFOG00000013103"
"pparg","ENSPFOG00000013138"
"terf2ip","ENSPFOG00000013189"
"IFFO2","ENSPFOG00000013190"
"mrto4","ENSPFOG00000013266"
"akr7a3","ENSPFOG00000013295"
"MEGF6","ENSPFOG00000013409"
"KCNAB2","ENSPFOG00000013731"
"park7","ENSPFOG00000013906"
"pax7b","ENSPFOG00000013988"
"mrps16","ENSPFOG00000014130"
"errfi1","ENSPFOG00000014132"
"tas1r3","ENSPFOG00000014141"
"ccdc114","ENSPFOG00000024264"
"ensembl","ENSPFOG00000014192"
